fn,cx,cy,cz,radius,inliers,total
test_fn106,-2.3582446500334728e+142,1.0111522562760887e+139,5.144641614868226e+144,0.25,324,14976
test_fn118,-0.6817751405594529,0.6173121354411115,-0.06392310167240242,0.25,385,14976
test_fn22,5.790458860599609e+89,1.2283939522397056e+89,-2.0976744214989604e+86,0.25,314,14976
test_fn41,-0.046151314589280235,-0.17578049027695414,0.17167199946314748,0.25,312,14976
test_fn45,-1.9540192283482597e+83,3.449797869890985e+82,5.0324349113815196e+85,0.25,328,14976
test_fn47,0.041658666413415986,-0.06850714090617806,0.23679384949258458,0.25,315,14976
test_fn48,-0.12598138278218238,0.07115209955255586,-0.20387758562812253,0.25,332,14976
test_fn61,0.24306194941403264,-0.044138186609579654,-0.03837589386409348,0.25,314,14976
test_fn65,0.21392987976575084,0.11204552145078177,-0.06465143205317839,0.25,302,14976
test_fn76,-0.07216986671757727,-0.13738007424165352,0.19600567731408491,0.25,316,14976
test_fn82,0.1253968342766852,-0.013566461264153997,0.21585083989216666,0.25,326,14976
test_fn84,0.14886258977492253,0.1321911593699607,-0.15121318312213705,0.25,314,14976
test_fn87,-6.922618454913051e+102,-3.822534034992623e+102,-2.4450633878918977e+102,0.25,328,14976
