fn,cx,cy,cz
fn10,4.251897,1.297495,6.187433
fn100,3.428720,0.480129,3.808622
fn101,2.107132,0.541196,4.622702
fn102,0.623977,0.917961,3.639355
fn103,5.095502,1.545826,8.690297
fn104,1.157699,1.243674,5.300767
fn105,0.481670,0.141345,7.466948
fn106,-0.049266,-1.650904,6.849148
fn107,1.062836,0.993527,8.493732
fn108,-9.049003,-1.630733,19.683598
fn109,0.432379,0.478036,2.762090
fn11,2.002337,0.996232,9.195663
fn110,-0.067894,-0.219533,7.544085
fn111,0.186533,-1.209468,9.232702
fn112,1.568451,-1.172131,5.186007
fn113,-0.473682,0.079954,1.461785
fn114,-0.091469,-1.034800,7.205018
fn115,-0.596707,-0.298981,1.652969
fn116,-0.583216,-0.244982,1.308058
fn117,1.039453,-0.054391,17.510431
fn118,1.190661,-0.014775,3.641738
fn119,-1.020777,-0.337481,2.749257
fn12,2.959519,0.792715,3.880360
fn120,0.738360,0.457971,9.204260
fn121,1.123084,1.066574,4.090586
fn122,0.282132,0.285326,2.464986
fn123,0.514922,0.572427,3.680482
fn124,-0.485994,0.475100,2.030867
fn125,-0.877077,-1.794986,3.638154
fn126,0.618905,0.411229,2.581662
fn13,3.764998,-4.342584,8.596997
fn14,2.177041,0.168142,6.268670
fn15,1.848257,1.091876,9.995778
fn16,3.511498,0.341561,4.284898
fn17,1.530426,-1.069510,4.964204
fn18,-0.264329,-0.275266,6.274481
fn19,2.869558,1.088291,3.067113
fn20,5.207669,1.000228,6.264692
fn21,1.327295,0.862203,4.169829
fn22,2.873770,0.540033,5.458680
fn23,6.353154,1.094072,7.534715
fn24,2.363502,0.950002,5.064615
fn25,-0.680958,0.044923,10.962328
fn26,-0.201870,-1.631785,12.770371
fn27,0.036549,0.630279,4.651314
fn28,0.389314,-0.019899,20.534157
fn29,-0.620931,0.003701,7.260754
fn30,1.035777,0.323379,2.050457
fn31,4.823191,1.538108,8.576120
fn32,-0.117239,0.292086,20.844342
fn33,2.077682,1.126307,4.744274
fn34,-0.159603,-1.757823,6.074502
fn35,0.066001,0.103842,6.885917
fn36,0.049986,-1.513918,5.028082
fn37,0.890248,0.008491,3.704037
fn38,1.145355,-0.069401,4.333935
fn39,1.542385,0.824987,7.600020
fn40,-0.033141,0.151151,14.123458
fn41,1.084320,0.018305,10.877470
fn42,0.023304,0.825007,8.647635
fn43,1.161511,-1.183603,2.215295
fn44,0.707301,1.003464,3.623498
fn45,1.243236,-2.637517,9.557548
fn46,1.709334,-1.653779,4.490841
fn47,-0.048534,-0.834263,5.029703
fn48,0.810712,-2.613015,10.563496
fn49,0.838093,-1.117873,2.471516
fn50,-0.105591,0.068921,2.886217
fn51,1.085876,-0.388201,1.917872
fn52,-0.563895,0.037887,9.066920
fn53,-1.891979,-0.011559,17.387749
fn54,2.411347,0.944130,8.921139
fn55,0.626851,0.076548,8.079637
fn56,-6.342266,-0.119544,42.664338
fn57,0.809131,-0.402076,2.231054
fn58,0.874535,-0.005121,8.827008
fn59,-0.883434,0.039349,13.550823
fn6,1.043526,-0.003505,3.656608
fn60,-1.778064,0.034357,5.199212
fn61,0.005029,-0.644406,3.200700
fn62,0.359375,-0.073568,0.959146
fn63,5.668466,1.046479,8.474567
fn64,0.381863,-0.021801,0.953396
fn65,3.875825,0.359144,4.631616
fn66,0.681483,0.126794,1.533779
fn67,9.223038,2.377741,13.475399
fn68,6.016150,-1.299444,21.264004
fn69,0.691593,1.719759,9.656894
fn7,4.644030,1.065005,5.766383
fn70,8.414947,1.972972,12.762676
fn71,-0.531936,-0.001125,9.766290
fn72,2.984297,1.421072,3.795287
fn73,-2.678031,-2.437291,11.484929
fn74,-1.251346,0.149925,10.728659
fn75,2.802997,0.451792,3.817547
fn76,10.148754,-0.001686,15.370277
fn77,1.970385,-1.230637,24.852662
fn78,1.877086,-0.005196,2.696029
fn79,0.870486,0.825238,3.250861
fn8,7.908531,1.445889,9.624957
fn80,0.107268,-0.008765,1.072036
fn81,1.744260,0.748760,3.591003
fn82,0.364743,-0.776910,2.003808
fn83,0.232439,-0.014482,1.108369
fn84,2.148174,0.880319,4.182462
fn85,2.198648,0.596374,4.818069
fn86,1.318250,0.581603,3.990423
fn87,7.633714,1.363327,9.379036
fn88,0.465762,-0.492310,0.726417
fn89,1.961147,5.737057,15.202458
fn9,4.651315,0.938390,5.621147
